Type,Headline,Text,Start Date,End Date,Display Date,Group,Media URL,Media Caption,Media Credit,Media Alt,Media Link,Media Link Target,Background Color,Background Image,Unique ID,Start Time,End Time
title,Living Labs Institute Course Calendar,This timeline contains our course calendar over the next year divided into trimesters,,,,,,,,,,,,,timeline-title,,
event,Maternal archives of songs,"This primer course will involve working with women to document birth practices, lullabies, remedies, taboos, and learn how to produce narratives and is offered by Eshwari & Supriya",2025-10-06,2025-11-02,,Trimester 1,,,,,,,#d9ead3,,living-labs-institute-course-calendar,,
event,Artefact as Method,This primer course will be about learning by making artefacts as a research method and is offered by Abhiram & Shreyas,2025-10-06,2025-11-02,,Trimester 1,,,,,,,#d9ead3,,maternal-archives-of-songs,,
event,Map as a tool to understand socioecological phenomena in the place,"This workshop by Adhavan & Harsha will attempt to introduce tools, methods and software to use maps as tools to document and understand  socio-ecological phenomena associated with a place or an ecosystemwill attempt to introduce tools, methods and software to use maps as tools to document and understand  socio-ecological phenomena associated with a place or an ecosystem",2025-10-27,2025-11-09,,Trimester 1,,,,,,,#c9daf8,,artefact-as-method,,
event,Interaction between craft communities,This workshop by Eshwari & Supriya will work through the interdependence between communities and their practices and how they co-exist. This will rely on the knowledge that some of these crafts and communities are disappearing and what future can be imagined.,2025-10-27,2025-11-09,,Trimester 1,,,,,,,#c9daf8,,map-as-a-tool-to-understand-socioecological-phenomena-in-the-place,,
event,Assembling narratives in the plural world,This elective course by Archit & Shreyas will explore how artefacts embedded in a place are containers of shared narratives among communities. In this unit we will assemble narratives through cultural artefacts to initiate a public dialogue. ,2025-10-20,2025-11-16,,Trimester 1,,,,,,,#d9d2e9,,interaction-between-craft-communities,,
event,Sacred sites: Culture and Environment,This elective course by Abhishek & Shreyas will explore how artefacts embedded in a place are containers of shared narratives among communities. In this unit we will assemble narratives through cultural artefacts to initiate a public dialogue. ,2025-10-20,2025-11-16,,Trimester 1,,,,,,,#d9d2e9,,assembling-narratives-in-the-plural-world,,
event,"Culinary practices, nutrition and wellbeing","This travelling studio by Sangeetha & Vidya will explore multiple sites of food production situated in Kundapura, like the agricultural fields, fish markets and ports, cashew & areca orchards. Being from a place which produces diverse food, how are food practices in different communities and how the production and consumption has a impact on the wellbeing of the communities",2025-10-06,2025-10-26,,Trimester 1,,,,,,,#46bdc6,,sacred-sites:-culture-and-environment,,
event,What Shapes our Health? Mapping to understand place-based SDoH,"This makeathon by Naveen, Sangeetha, Vidya & Adhavan and is set in specific places within the Kundapura Taluk, this primer exposes to the specific and local manifestation of Social Determinants of Health and opens up for their implications for understanding community health & wellbeing",2025-11-10,2025-11-16,,Trimester 1,,,,,,,#f6b26b,,"culinary-practices,-nutrition-and-wellbeing",,
event,Rhythms of the place,"This makeathon by Archit, Eeshita & Shreyas will be about listening to a place, recording it and sampling it. This will also be an introduction to sampling as a method.",2025-11-10,2025-11-16,,Trimester 1,,,,,,,#f6b26b,,what-shapes-our-health?-mapping-to-understand-place-based-sdoh,,
era,Trimester 1,These are all the courses that will run from September 1 to November 23rd,2025-09-01,2025-11-23,,,,,,,,,#ffff00,,rhythms-of-the-place,,
